City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,Naze,JP,63.21,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
554,Tual,ID,83.19,moderate rain,-5.6667,132.75,Grand Vilia Hotel
556,Luoyang,CN,61.0,broken clouds,34.6836,112.4536,易家国际青年旅舍
557,San Luis,AR,72.7,clear sky,-33.295,-66.3356,Huarpes Hotel
560,Sikonge,TZ,75.2,few clouds,-5.6333,32.7667,Daukilo Lodge
561,Vanimo,PG,76.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
562,Elko,US,61.0,clear sky,41.0002,-115.5012,
564,Bechem,GH,81.93,overcast clouds,7.0903,-2.025,Orange Hotel
565,Dothan,US,82.0,broken clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
570,Chimore,BO,75.0,overcast clouds,-16.9833,-65.1333,Bichito
571,Acarau,BR,81.7,scattered clouds,-2.8856,-40.12,castelo pizzaria
575,Kyotera,UG,65.62,few clouds,-0.6156,31.5175,NEW PARADISE GUEST HOUSE
576,Dicabisagan,PH,76.53,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
577,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
578,Ngunguru,NZ,64.99,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
579,Sao Borja,BR,75.02,clear sky,-28.6606,-56.0044,Hotel Executivo
581,Muli,MV,81.91,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
582,Bonthe,SL,81.19,light rain,7.5264,-12.505,Bonthe Holiday Village
584,Sorong,ID,77.74,light rain,-0.8833,131.25,The Waigo Hotel
586,Da Nang,VN,77.0,scattered clouds,16.0678,108.2208,Sun River Hotel
587,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
588,Viedma,AR,79.77,overcast clouds,-40.8135,-62.9967,Hotel Cristal
589,Minab,IR,78.8,haze,27.1467,57.0801,Bam campground
590,Port-Gentil,GA,82.4,light rain,-0.7193,8.7815,Fengshui Residence
592,Laguna,US,71.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
593,Cortes,ES,66.2,clear sky,41.9395,-1.4396,Rincon de bu
594,Pak Phanang,TH,80.64,broken clouds,8.3511,100.20200000000001,Green Park Inn Hotel
595,Dourbali,TD,84.83,clear sky,11.8091,15.8632,
598,Hualmay,PE,74.89,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
599,Gushikawa,JP,71.6,mist,26.3544,127.8686,Kirari Guest House
600,Mercedes,AR,73.0,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
604,Dawei,MM,77.83,overcast clouds,14.0833,98.2,Hotel Dawei
605,Coffs Harbour,AU,62.6,clear sky,-30.3,153.1333,Aquajet Motel
609,Malindi,KE,84.2,few clouds,-3.2175,40.1191,African House Resort
612,General Roca,AR,80.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
616,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
617,Puri,IN,80.6,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
625,Kingman,US,69.8,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
626,Kaeo,NZ,64.99,moderate rain,-35.1,173.7833,Bushido Lodge
627,Merauke,ID,79.47,overcast clouds,-8.4667,140.3333,PC
628,Agadez,NE,70.38,clear sky,19.75,10.25,
629,Chake Chake,TZ,81.79,scattered clouds,-5.2459,39.7666,Hotel Archipelago
631,Clarence Town,AU,63.0,broken clouds,-32.5833,151.7833,River Downs Cottage
632,Monkey Bay,MW,75.78,light rain,-14.0728,34.9201,Monkey Bay Beach Lodge
635,Veraval,IN,78.24,clear sky,20.9,70.3667,Lords Inn Somnath
637,Salinas,US,70.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
638,Antsohihy,MG,75.24,overcast clouds,-14.8796,47.9875,Hotel de Ville
639,Gamboma,CG,74.21,moderate rain,-1.8764,15.8644,Residence N'Keni
640,Kalabo,ZM,72.52,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
642,Jerantut,MY,73.58,few clouds,3.9360000000000004,102.3626,Jerantut Hill Resort
644,Hobyo,SO,80.87,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
649,Kanigoro,ID,72.73,broken clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
651,Luanda,AO,80.37,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
653,Huangmei,CN,61.07,light rain,30.1924,116.025,Tianxiachan Hotel
655,Teknaf,BD,75.29,broken clouds,20.8624,92.3058,Forestry Guesthouse
656,Kudahuvadhoo,MV,81.5,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
659,Emerald,AU,69.8,scattered clouds,-23.5333,148.1667,The Irish Village
660,Comodoro Rivadavia,AR,64.4,clear sky,-45.8667,-67.5,Austral Hotel
662,Edd,ER,79.83,clear sky,13.9297,41.6925,
664,Mecca,SA,74.97,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
665,Makokou,GA,73.13,light rain,0.5738,12.8642,WAMY RESIDENCE HOTEL
666,Sarangani,PH,80.17,heavy intensity rain,5.4033,125.4636,Ballistic Islet
670,Seddon,AU,60.01,overcast clouds,-37.8068,144.8916,Footscray Motor Inn
671,Grand-Santi,GF,78.51,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
672,Siva,EG,63.63,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
674,Praxedis Guerrero,MX,66.0,clear sky,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
675,Camana,PE,74.44,overcast clouds,-16.6228,-72.7111,Hostal Morales
677,Virginia Beach,US,81.0,overcast clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
679,Jalu,LY,63.61,overcast clouds,29.0331,21.5482,صاحبة الفخامة
681,Port Lincoln,AU,60.49,clear sky,-34.7333,135.8667,Port Lincoln Hotel
684,Micheweni,TZ,82.98,few clouds,-4.9667,39.8333,
687,Gizo,SB,82.6,few clouds,-8.103,156.8419,Imagination Island
692,Luxor,EG,69.8,clear sky,25.6989,32.6421,Iberotel Luxor
